user_query,cypher_exact_match,cypher_relevancy_score,cypher_correctness_score,execution_accuracy,answer_relevancy_score,answer_correctness_score,llm_cypher,llm_answer,error
When was shipment 4000 delivered?,False,0.5,0.29718396514840645,False,1.0,0.22595653034736665,"MATCH (s:Shipment {tracking_number: '4000'})-[:DELIVERED_TO]->(l:Location) RETURN s.tracking_number, s.expected_delivery_date","[{'s.tracking_number': '4000', 's.expected_delivery_date': '2024-06-05'}]",
Which shipments did SwiftExpress deliver early?,False,0.6666666666666666,0.3592639449313061,False,1.0,0.06629714633866557,"MATCH (s:Shipment)-[:DELIVERED_TO]->(l:Location)
WHERE l.name = ""SwiftExpress"" AND s.status = ""Delivered Early""
RETURN s.tracking_number",[],
Show all shipments going to San Diego,False,1.0,0.7413729637481252,False,1.0,0.6406704950973753,MATCH (s:Shipment)-[:DELIVERED_TO]->(l:Location {name: 'San Diego'}) RETURN s.tracking_number,"[{'s.tracking_number': '4012'}, {'s.tracking_number': '4005'}, {'s.tracking_number': '4004'}]",
What shipments does Carol Lee have?,False,1.0,0.5169137139306653,False,1.0,0.04077589237231435,MATCH (c:Customer {name: 'Carol Lee'})-[:BELONGS_TO]->(s:Shipment) RETURN s.tracking_number,[],
"List shipments dispatched between May 25-31, 2024",False,0.8,0.49166688415102644,False,0.0,0.16440410481677387,"MATCH (s:Shipment)-[:DISPATCHED_FROM]->(l:Location)
WHERE s.dispatch_date >= '2024-05-25' AND s.dispatch_date <= '2024-05-31'
RETURN s.tracking_number, l.name","[{'s.tracking_number': '1234', 'l.name': 'New York'}, {'s.tracking_number': '1121', 'l.name': 'Boston'}, {'s.tracking_number': '4003', 'l.name': 'Denver'}, {'s.tracking_number': '4006', 'l.name': 'Orlando'}, {'s.tracking_number': '4009', 'l.name': 'San Diego'}, {'s.tracking_number': '4011', 'l.name': 'New York'}, {'s.tracking_number': '4012', 'l.name': 'Portland'}]",
Is shipment 4002 still in transit?,False,1.0,0.725520589217368,False,1.0,0.6299034229740424,MATCH (s:Shipment {tracking_number: '4002'}) RETURN s.status,[{'s.status': 'In Transit'}],
Who's handling shipment 4014?,False,0.5,0.7549823547764383,False,1.0,0.6845284586690101,MATCH (s:Shipment {tracking_number: '4014'})-[:ASSIGNED_TO]->(courier:Courier) RETURN courier.name AS courier_handling,[{'courier_handling': 'ParcelPro'}],
Where is shipment 4003 coming from and going to?,False,1.0,0.7465314671332336,False,1.0,0.8443964866800332,"MATCH (s:Shipment {tracking_number: '4003'})-[:DISPATCHED_FROM]->(from:Location), 
      (s)-[:DELIVERED_TO]->(to:Location) 
RETURN from.name AS dispatch_location, to.name AS delivery_location","[{'dispatch_location': 'Denver', 'delivery_location': 'Philadelphia'}]",
Was shipment 4019 delivered on time?,False,1.0,0.3437429340709815,False,1.0,0.19692417084273847,"MATCH (s:Shipment {tracking_number: '4019'}) RETURN s.expected_delivery_date, s.actual_delivery_date","[{'s.expected_delivery_date': '2024-06-08', 's.actual_delivery_date': None}]",
Show all undelivered Phoenix-bound shipments,False,1.0,0.2863590253995924,False,1.0,0.1254343287118947,"MATCH (s:Shipment)-[:DELIVERED_TO]->(l:Location {name: 'Phoenix'}) 
WHERE NOT EXISTS((s)-[:DELIVERED_TO]->()) 
RETURN s.tracking_number",[],
